id,clave,nombre,created_at,updated_at
70,570,UNIVERSIDAD AUTONOMA COMUNAL DE OAXACA,2026-03-22 13:24:44,2026-03-22 13:24:44
71,571,COMISIÓN ESTATAL DE BÚSQUEDA DE PERSONAS DESAPARECIDAS PARA EL ESTADO DE OAXACA,2026-03-22 13:24:44,2026-03-22 13:24:44
72,572,DIRECCIÓN GENERAL DEL HANGAR OFICIAL DEL GOBIERNO DEL ESTADO,2026-03-22 13:24:44,2026-03-22 13:24:44
73,573,CENTRO DE CONCILIACIÓN LABORAL DEL ESTADO DE OAXACA,2026-03-22 13:24:44,2026-03-22 13:24:44
74,574,PROCURADURIA DE PROTECCION AL AMBIENTE DEL ESTADO DE OAXACA,2026-03-22 13:24:44,2026-03-22 13:24:44
75,575,"COMISIÓN EJECUTIVA ESTATAL DE ATENCIÓN INTEGRAL A VÍCTIMAS
",2026-03-22 13:24:44,2026-03-22 13:24:44
76,576,"ARCHIVO GENERAL DEL ESTADO DE OAXACA
",2026-03-22 13:24:44,2026-03-22 13:24:44
77,578,UNIDAD DE INTELIGENCIA PATRIMONIAL Y ECONÓMICA DEL ESTADO DE OAXACA,2026-03-22 13:24:44,2026-03-22 13:24:44
78,579,"UNIVERSIDAD POLITECNICA Y TECNOLOGICA DEL ISTMO DE TEHUANTEPEC
",2026-03-22 13:24:44,2026-03-22 13:24:44
79,580,AFROUNIVERSIDAD POLITECNICA INTERCULTURAL,2026-03-22 13:24:44,2026-03-22 13:24:44
80,582,COORDINACIÓN PARA LA COMERCIALIZACIÓN DE PRODUCTOS OAXAQUEÑOS,2026-03-22 13:24:44,2026-03-22 13:24:44
81,584,INSTITUTO DE LENGUAS ORIGINARIAS DE OAXACA,2026-03-22 13:24:44,2026-03-22 13:24:44
82,585,INSTITUTO ESTATAL DE CREACIÓN LITERARIA Y PROMOCIÓN DE LA LECTURA,2026-03-22 13:24:44,2026-03-22 13:24:44
83,587,AGENCIA DE TECNOLOGIAS E INNOVACION DIGITAL,2026-03-22 13:24:44,2026-03-22 13:24:44
84,601,FIDEICOMISO PARA EL DESARROLLO LOGÍSTICO DEL ESTADO DE OAXACA,2026-03-22 13:24:44,2026-03-22 13:24:44
85,602,FIDEICOMISO DE FOMENTO PARA EL ESTADO DE OAXACA,2026-03-22 13:24:44,2026-03-22 13:24:44
86,801,OFICINA DE PENSIONES DEL ESTADO DE OAXACA,2026-03-22 13:24:44,2026-03-22 13:24:44
87,901,PLANEACIÓN,2026-03-22 13:24:44,2026-03-22 13:24:44
